Tipo: LIT_INTEGER	Lexema: 3	Linea: 103	Columna:22
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 103	Columna:24
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 104	Columna:8
Tipo: ELSE	Lexema: hada	Linea: 105	Columna:8
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 105	Columna:13
Tipo: LIT_INTEGER	Lexema: 4	Linea: 106	Columna:12
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 106	Columna:14
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 107	Columna:8
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 108	Columna:4
Tipo: CHAR	Lexema: cupido	Linea: 111	Columna:4
Tipo: IDENTIFICADOR	Lexema: _pruebaCondicionalesElse_	Linea: 111	Columna:11
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 111	Columna:37
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 111	Columna:48
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 111	Columna:61
Tipo: WHILE	Lexema: envuelve	Linea: 113	Columna:8
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 113	Columna:17
Tipo: LIT_INTEGER	Lexema: 1	Linea: 113	Columna:28
Tipo: IGUALDAD	Lexema: mary	Linea: 113	Columna:30
Tipo: LIT_INTEGER	Lexema: 3	Linea: 113	Columna:35
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 113	Columna:37
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 113	Columna:50
Tipo: LIT_INTEGER	Lexema: 4	Linea: 114	Columna:12
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 114	Columna:14
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 115	Columna:8
Tipo: FOR	Lexema: duende	Linea: 118	Columna:8
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 118	Columna:15
Tipo: INTEGER	Lexema: rodolfo	Linea: 118	Columna:26
Tipo: IDENTIFICADOR	Lexema: _i_	Linea: 118	Columna:34
Tipo: ASIGNACION	Lexema: entrega	Linea: 118	Columna:38
Tipo: LIT_INTEGER	Lexema: 1	Linea: 118	Columna:46
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 118	Columna:48
Tipo: LIT_INTEGER	Lexema: 4	Linea: 118	Columna:58
Tipo: MENOR	Lexema: snowball	Linea: 118	Columna:60
Tipo: LIT_INTEGER	Lexema: 4	Linea: 118	Columna:69
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 118	Columna:71
Tipo: IDENTIFICADOR	Lexema: _i_	Linea: 118	Columna:81
